name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,latitude,longitude,severity_score,year_valid,decade,century,mass_category,fall_found_flag,hemisphere_ns,hemisphere_ew,location_quality
grove mountains 052959,48389,valid,l5,699.0,found,2006.0,-72.782778,75.298333,"-72.782778, 75.298333",-72.782778,75.298333,2,True,2000.0,21.0,medium,found,south,east,valid
grove mountains 052965,50478,valid,l6,162.08,found,2006.0,-72.77944,75.30889,"-72.77944, 75.30889",-72.77944,75.30889,2,True,2000.0,21.0,medium,found,south,east,valid
grove mountains 052968,48390,valid,l6,75.56,found,2006.0,-72.7775,75.305556,"-72.7775, 75.305556",-72.7775,75.305556,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052969,50479,valid,l7,71.26,found,2006.0,-72.78194,75.29889,"-72.78194, 75.29889",-72.78194,75.29889,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052970,48391,valid,l5,50.8,found,2006.0,-72.777778,75.306111,"-72.777778, 75.306111",-72.777778,75.306111,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052971,48392,valid,l6,45.73,found,2006.0,-72.779444,75.308611,"-72.779444, 75.308611",-72.779444,75.308611,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052974,48393,valid,l6,31.33,found,2006.0,-72.777222,75.338889,"-72.777222, 75.338889",-72.777222,75.338889,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052975,50480,valid,l5,18.75,found,2006.0,-72.77778,75.30528,"-72.77778, 75.30528",-72.77778,75.30528,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052978,50481,valid,l6,8.38,found,2006.0,-72.78111,75.29944,"-72.78111, 75.29944",-72.78111,75.29944,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052979,50482,valid,l6,3.27,found,2006.0,-72.78667,75.29167,"-72.78667, 75.29167",-72.78667,75.29167,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052982,50483,valid,l6,1.78,found,2006.0,-72.78667,75.29167,"-72.78667, 75.29167",-72.78667,75.29167,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052984,50484,valid,l6,1.27,found,2006.0,-72.78667,75.29167,"-72.78667, 75.29167",-72.78667,75.29167,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052985,46490,valid,l5,35.53,found,2006.0,-72.77917,75.31333,"-72.77917, 75.31333",-72.77917,75.31333,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052986,50485,valid,l6,18.56,found,2006.0,-72.77917,75.31333,"-72.77917, 75.31333",-72.77917,75.31333,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052988,50486,valid,h5,18.57,found,2006.0,-72.77778,75.31028,"-72.77778, 75.31028",-72.77778,75.31028,1,True,2000.0,21.0,small,found,south,east,valid
grove mountains 052991,48394,valid,l6,5.11,found,2006.0,-72.778056,75.310278,"-72.778056, 75.310278",-72.778056,75.310278,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052992,50487,valid,l6,3.95,found,2006.0,-72.78278,75.29667,"-72.78278, 75.29667",-72.78278,75.29667,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 052996,48395,valid,l6,0.94,found,2006.0,-72.782778,75.296667,"-72.782778, 75.296667",-72.782778,75.296667,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053002,50488,valid,l6,3.36,found,2006.0,-72.77833,75.31,"-72.77833, 75.31",-72.77833,75.31,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053004,50489,valid,l5,1.54,found,2006.0,-72.77833,75.31,"-72.77833, 75.31",-72.77833,75.31,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053005,50490,valid,l6,1.28,found,2006.0,-72.77833,75.31,"-72.77833, 75.31",-72.77833,75.31,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053006,48396,valid,l6,1.2,found,2006.0,-72.777222,75.340833,"-72.777222, 75.340833",-72.777222,75.340833,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053007,48397,valid,l6,1.2,found,2006.0,-72.778333,75.31,"-72.778333, 75.31",-72.778333,75.31,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053008,50491,valid,l5,1.31,found,2006.0,-72.77778,75.30889,"-72.77778, 75.30889",-72.77778,75.30889,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053016,46491,valid,h6,1.68,found,2006.0,-72.77194,75.3325,"-72.77194, 75.3325",-72.77194,75.3325,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053022,50492,valid,l5,1.54,found,2006.0,-72.79083,75.28028,"-72.79083, 75.28028",-72.79083,75.28028,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053023,50493,valid,l4,2.21,found,2006.0,-72.78972,75.28028,"-72.78972, 75.28028",-72.78972,75.28028,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053025,46492,valid,h5,4.83,found,2006.0,-72.79,75.28333,"-72.79, 75.28333",-72.79,75.28333,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053026,48398,valid,h5,2.24,found,2006.0,-72.79,75.283333,"-72.79, 75.283333",-72.79,75.283333,1,True,2000.0,21.0,tiny,found,south,east,valid
grove mountains 053030,46493,valid,h5,4.76,found,2006.0,-72.78722,75.29306,"-72.78722, 75.29306",-72.78722,75.29306,1,True,2000.0,21.0,tiny,found,south,east,valid
